*file,reg,variable,year,val
SSP1p_20W_BIOD2,AME,RLI,2040,0.95545657
SSP1p_20W_BIOD2,SAS,RLI,2040,0.966300366
SSP1p_20W_BIOD2,WLD,RLI,2040,0.958353852
SSP1p_20W_BIOD2,EUE,RLI,2040,0.90647482
SSP1p_20W_BIOD2,CAN,NSpeciesExtinctAtFirstYear,2040,4
SSP1p_20W_BIOD2,USA,NSpeciesExtinctAtFirstYear,2040,14
SSP1p_20W_BIOD2,BRA,NSpeciesExtinctAtFirstYear,2040,6
SSP1p_20W_BIOD2,OSA,NSpeciesExtinctAtFirstYear,2040,24
SSP1p_20W_BIOD2,FSU,NSpeciesExtinctAtFirstYear,2040,30
SSP1p_20W_BIOD2,EUR,NSpeciesExtinctAtFirstYear,2040,8
SSP1p_20W_BIOD2,MEN,NSpeciesExtinctAtFirstYear,2040,27
SSP1p_20W_BIOD2,SSA,NSpeciesExtinctAtFirstYear,2040,25
SSP1p_20W_BIOD2,CHN,NSpeciesExtinctAtFirstYear,2040,15
SSP1p_20W_BIOD2,IND,NSpeciesExtinctAtFirstYear,2040,5
SSP1p_20W_BIOD2,SEA,NSpeciesExtinctAtFirstYear,2040,8
SSP1p_20W_BIOD2,OAS,NSpeciesExtinctAtFirstYear,2040,7
SSP1p_20W_BIOD2,ANZ,NSpeciesExtinctAtFirstYear,2040,13
SSP1p_20W_BIOD2,NAM,NSpeciesExtinctAtFirstYear,2040,14
SSP1p_20W_BIOD2,OAM,NSpeciesExtinctAtFirstYear,2040,24
SSP1p_20W_BIOD2,AME,NSpeciesExtinctAtFirstYear,2040,39
SSP1p_20W_BIOD2,SAS,NSpeciesExtinctAtFirstYear,2040,23
SSP1p_20W_BIOD2,WLD,NSpeciesExtinctAtFirstYear,2040,110
SSP1p_20W_BIOD2,EUE,NSpeciesExtinctAtFirstYear,2040,7
SSP1p_20W_BIOD2,CAN,NPotSpeciesInRegion,2040,122
SSP1p_20W_BIOD2,USA,NPotSpeciesInRegion,2040,259
SSP1p_20W_BIOD2,BRA,NPotSpeciesInRegion,2040,470
SSP1p_20W_BIOD2,OSA,NPotSpeciesInRegion,2040,794
SSP1p_20W_BIOD2,FSU,NPotSpeciesInRegion,2040,299
SSP1p_20W_BIOD2,EUR,NPotSpeciesInRegion,2040,144
SSP1p_20W_BIOD2,MEN,NPotSpeciesInRegion,2040,233
SSP1p_20W_BIOD2,SSA,NPotSpeciesInRegion,2040,741
SSP1p_20W_BIOD2,CHN,NPotSpeciesInRegion,2040,411
SSP1p_20W_BIOD2,IND,NPotSpeciesInRegion,2040,264
SSP1p_20W_BIOD2,SEA,NPotSpeciesInRegion,2040,611
SSP1p_20W_BIOD2,OAS,NPotSpeciesInRegion,2040,288
SSP1p_20W_BIOD2,ANZ,NPotSpeciesInRegion,2040,185
SSP1p_20W_BIOD2,NAM,NPotSpeciesInRegion,2040,263
SSP1p_20W_BIOD2,OAM,NPotSpeciesInRegion,2040,903
SSP1p_20W_BIOD2,AME,NPotSpeciesInRegion,2040,898
SSP1p_20W_BIOD2,SAS,NPotSpeciesInRegion,2040,819
SSP1p_20W_BIOD2,WLD,NPotSpeciesInRegion,2040,2843
SSP1p_20W_BIOD2,EUE,NPotSpeciesInRegion,2040,139
SSP1p_20W_BIOD2,CAN,ESHI,2050,0.988056439
SSP1p_20W_BIOD2,USA,ESHI,2050,1.560243002
SSP1p_20W_BIOD2,BRA,ESHI,2050,1.21989353
SSP1p_20W_BIOD2,OSA,ESHI,2050,1.321224922
SSP1p_20W_BIOD2,FSU,ESHI,2050,1.309413344
SSP1p_20W_BIOD2,EUR,ESHI,2050,0.96048607
SSP1p_20W_BIOD2,MEN,ESHI,2050,1.217598622
SSP1p_20W_BIOD2,SSA,ESHI,2050,1.522454625
SSP1p_20W_BIOD2,CHN,ESHI,2050,1.702162983
SSP1p_20W_BIOD2,IND,ESHI,2050,1.054005357
